Табельный номер,Тип документа,Кол-во,Ср.время сборки(мин),Операция (Учитывается тому кто выдал на выдаче) ,Кол-во,Ср.время сборки(мин),Операция,Кол-во,Ср.время работы с переносом(мин),Операция,Кол-во,Кол-во шт.,Операция,Кол-во (учитывается кто закрыл приемку)
825052,Подбор,29,14.12,Отгрузка,27,11.45,Перенос(склад),53,18.48,ПСТ(зал),31,1216,Приемка,10
825065,Подбор,32,11.51,Отгрузка,45,12.26,Перенос(склад),63,15.62,ПСТ(зал),8,479,Приемка,16
825066,Подбор,42,14.12,Отгрузка,25,12.17,Перенос(склад),11,11.17,ПСТ(зал),12,628,Приемка,12
825070,Подбор,47,21.73,Отгрузка,34,20.6,Перенос(склад),1,5.78,ПСТ(зал),14,806,Приемка,0
825079,Подбор,41,17.62,Отгрузка,10,8.94,Перенос(склад),27,25.14,ПСТ(зал),67,3576,Приемка,30
